Tier,Term,Fico,Loan.Amount,Channel,Member,Fixed.Rate
1,2,620-639,60000-69999,Affiliate,NonMember,0.04691
1,2,620-639,60000-69999,NonAffiliate,Member,0.04741
1,2,620-639,60000-69999,NonAffiliate,NonMember,0.04841
1,2,620-639,70000-79999,Affiliate,Member,0.04585
1,2,620-639,70000-79999,Affiliate,NonMember,0.04685
1,2,620-639,70000-79999,NonAffiliate,Member,0.04735
1,2,620-639,70000-79999,NonAffiliate,NonMember,0.04835
1,2,620-639,80000-89999,Affiliate,Member,0.04579
1,2,620-639,80000-89999,Affiliate,NonMember,0.04679
1,2,620-639,80000-89999,NonAffiliate,Member,0.04729
1,2,620-639,80000-89999,NonAffiliate,NonMember,0.04829
1,2,620-639,90000-100000,Affiliate,Member,0.04573
1,2,620-639,90000-100000,Affiliate,NonMember,0.04673
1,2,620-639,90000-100000,NonAffiliate,Member,0.04723
1,2,620-639,90000-100000,NonAffiliate,NonMember,0.04823
1,2,640-659,0-9999,Affiliate,Member,0.04451
1,2,640-659,0-9999,Affiliate,NonMember,0.04551
1,2,640-659,0-9999,NonAffiliate,Member,0.04601
1,2,640-659,0-9999,NonAffiliate,NonMember,0.04701
1,2,640-659,10000-19999,Affiliate,Member,0.04445
1,2,640-659,10000-19999,Affiliate,NonMember,0.04545
1,2,640-659,10000-19999,NonAffiliate,Member,0.04595
1,2,640-659,10000-19999,NonAffiliate,NonMember,0.04695
1,2,640-659,20000-29999,Affiliate,Member,0.04439
1,2,640-659,20000-29999,Affiliate,NonMember,0.04539
1,2,640-659,20000-29999,NonAffiliate,Member,0.04589
1,2,640-659,20000-29999,NonAffiliate,NonMember,0.04689
1,2,640-659,30000-39999,Affiliate,Member,0.04433
1,2,640-659,30000-39999,Affiliate,NonMember,0.04533
1,2,640-659,30000-39999,NonAffiliate,Member,0.04583
1,2,640-659,30000-39999,NonAffiliate,NonMember,0.04683
1,2,640-659,40000-49999,Affiliate,Member,0.04427
1,2,640-659,40000-49999,Affiliate,NonMember,0.04527
1,2,640-659,40000-49999,NonAffiliate,Member,0.04577
1,2,640-659,40000-49999,NonAffiliate,NonMember,0.04677
1,2,640-659,50000-59999,Affiliate,Member,0.04421
1,2,640-659,50000-59999,Affiliate,NonMember,0.04521
1,2,640-659,50000-59999,NonAffiliate,Member,0.04571
1,2,640-659,50000-59999,NonAffiliate,NonMember,0.04671
1,2,640-659,60000-69999,Affiliate,Member,0.04415
1,2,640-659,60000-69999,Affiliate,NonMember,0.04515
1,2,640-659,60000-69999,NonAffiliate,Member,0.04565
1,2,640-659,60000-69999,NonAffiliate,NonMember,0.04665
1,2,640-659,70000-79999,Affiliate,Member,0.04409
1,2,640-659,70000-79999,Affiliate,NonMember,0.04509
1,2,640-659,70000-79999,NonAffiliate,Member,0.04559
1,2,640-659,70000-79999,NonAffiliate,NonMember,0.04659
1,2,640-659,80000-89999,Affiliate,Member,0.04403
1,2,640-659,80000-89999,Affiliate,NonMember,0.04503
1,2,640-659,80000-89999,NonAffiliate,Member,0.04553
1,2,640-659,80000-89999,NonAffiliate,NonMember,0.04653
1,2,640-659,90000-100000,Affiliate,Member,0.04397
1,2,640-659,90000-100000,Affiliate,NonMember,0.04497
1,2,640-659,90000-100000,NonAffiliate,Member,0.04547
1,2,640-659,90000-100000,NonAffiliate,NonMember,0.04647
1,2,660-679,0-9999,Affiliate,Member,0.04275
1,2,660-679,0-9999,Affiliate,NonMember,0.04375
1,2,660-679,0-9999,NonAffiliate,Member,0.04425
1,2,660-679,0-9999,NonAffiliate,NonMember,0.04525
1,2,660-679,10000-19999,Affiliate,Member,0.04269
1,2,660-679,10000-19999,Affiliate,NonMember,0.04369
1,2,660-679,10000-19999,NonAffiliate,Member,0.04419
1,2,660-679,10000-19999,NonAffiliate,NonMember,0.04519
1,2,660-679,20000-29999,Affiliate,Member,0.04263
1,2,660-679,20000-29999,Affiliate,NonMember,0.04363
1,2,660-679,20000-29999,NonAffiliate,Member,0.04413
1,2,660-679,20000-29999,NonAffiliate,NonMember,0.04513
1,2,660-679,30000-39999,Affiliate,Member,0.04257
1,2,660-679,30000-39999,Affiliate,NonMember,0.04357
1,2,660-679,30000-39999,NonAffiliate,Member,0.04407
1,2,660-679,30000-39999,NonAffiliate,NonMember,0.04507
1,2,660-679,40000-49999,Affiliate,Member,0.04251
1,2,660-679,40000-49999,Affiliate,NonMember,0.04351
1,2,660-679,40000-49999,NonAffiliate,Member,0.04401
1,2,660-679,40000-49999,NonAffiliate,NonMember,0.04501
1,2,660-679,50000-59999,Affiliate,Member,0.04245
1,2,660-679,50000-59999,Affiliate,NonMember,0.04345
1,2,660-679,50000-59999,NonAffiliate,Member,0.04395
1,2,660-679,50000-59999,NonAffiliate,NonMember,0.04495
1,2,660-679,60000-69999,Affiliate,Member,0.04239
1,2,660-679,60000-69999,Affiliate,NonMember,0.04339
1,2,660-679,60000-69999,NonAffiliate,Member,0.04389
1,2,660-679,60000-69999,NonAffiliate,NonMember,0.04489
1,2,660-679,70000-79999,Affiliate,Member,0.04233
1,2,660-679,70000-79999,Affiliate,NonMember,0.04333
1,2,660-679,70000-79999,NonAffiliate,Member,0.04383
1,2,660-679,70000-79999,NonAffiliate,NonMember,0.04483
1,2,660-679,80000-89999,Affiliate,Member,0.04227
1,2,660-679,80000-89999,Affiliate,NonMember,0.04327
1,2,660-679,80000-89999,NonAffiliate,Member,0.04377
1,2,660-679,80000-89999,NonAffiliate,NonMember,0.04477
1,2,660-679,90000-100000,Affiliate,Member,0.04221
1,2,660-679,90000-100000,Affiliate,NonMember,0.04321
1,2,660-679,90000-100000,NonAffiliate,Member,0.04371
1,2,660-679,90000-100000,NonAffiliate,NonMember,0.04471
1,2,680-699,0-9999,Affiliate,Member,0.04099
1,2,680-699,0-9999,Affiliate,NonMember,0.04199
1,2,680-699,0-9999,NonAffiliate,Member,0.04249
1,2,680-699,0-9999,NonAffiliate,NonMember,0.04349
1,2,680-699,10000-19999,Affiliate,Member,0.04093
1,2,680-699,10000-19999,Affiliate,NonMember,0.04193
1,2,680-699,10000-19999,NonAffiliate,Member,0.04243
1,2,680-699,10000-19999,NonAffiliate,NonMember,0.04343
1,2,680-699,20000-29999,Affiliate,Member,0.04087
1,2,680-699,20000-29999,Affiliate,NonMember,0.04187
1,2,680-699,20000-29999,NonAffiliate,Member,0.04237
1,2,680-699,20000-29999,NonAffiliate,NonMember,0.04337
1,2,680-699,30000-39999,Affiliate,Member,0.04081
1,2,680-699,30000-39999,Affiliate,NonMember,0.04181
1,2,680-699,30000-39999,NonAffiliate,Member,0.04231
1,2,680-699,30000-39999,NonAffiliate,NonMember,0.04331
1,2,680-699,40000-49999,Affiliate,Member,0.04075
1,2,680-699,40000-49999,Affiliate,NonMember,0.04175
1,2,680-699,40000-49999,NonAffiliate,Member,0.04225
1,2,680-699,40000-49999,NonAffiliate,NonMember,0.04325
1,2,680-699,50000-59999,Affiliate,Member,0.04069
1,2,680-699,50000-59999,Affiliate,NonMember,0.04169
1,2,680-699,50000-59999,NonAffiliate,Member,0.04219
1,2,680-699,50000-59999,NonAffiliate,NonMember,0.04319
1,2,680-699,60000-69999,Affiliate,Member,0.04063
1,2,680-699,60000-69999,Affiliate,NonMember,0.04163
1,2,680-699,60000-69999,NonAffiliate,Member,0.04213
1,2,680-699,60000-69999,NonAffiliate,NonMember,0.04313
1,2,680-699,70000-79999,Affiliate,Member,0.04057
1,2,680-699,70000-79999,Affiliate,NonMember,0.04157
1,2,680-699,70000-79999,NonAffiliate,Member,0.04207
1,2,680-699,70000-79999,NonAffiliate,NonMember,0.04307
1,2,680-699,80000-89999,Affiliate,Member,0.04051
1,2,680-699,80000-89999,Affiliate,NonMember,0.04151
1,2,680-699,80000-89999,NonAffiliate,Member,0.04201
1,2,680-699,80000-89999,NonAffiliate,NonMember,0.04301
1,2,680-699,90000-100000,Affiliate,Member,0.04045
1,2,680-699,90000-100000,Affiliate,NonMember,0.04145
1,2,680-699,90000-100000,NonAffiliate,Member,0.04195
1,2,680-699,90000-100000,NonAffiliate,NonMember,0.04295
1,2,700-719,0-9999,Affiliate,Member,0.03923
1,2,700-719,0-9999,Affiliate,NonMember,0.04023
1,2,700-719,0-9999,NonAffiliate,Member,0.04073
1,2,700-719,0-9999,NonAffiliate,NonMember,0.04173
1,2,700-719,10000-19999,Affiliate,Member,0.03917
1,2,700-719,10000-19999,Affiliate,NonMember,0.04017
1,2,700-719,10000-19999,NonAffiliate,Member,0.04067
1,2,700-719,10000-19999,NonAffiliate,NonMember,0.04167
1,2,700-719,20000-29999,Affiliate,Member,0.03911
1,2,700-719,20000-29999,Affiliate,NonMember,0.04011
1,2,700-719,20000-29999,NonAffiliate,Member,0.04061
1,2,700-719,20000-29999,NonAffiliate,NonMember,0.04161
1,2,700-719,30000-39999,Affiliate,Member,0.03905
1,2,700-719,30000-39999,Affiliate,NonMember,0.04005
1,2,700-719,30000-39999,NonAffiliate,Member,0.04055
1,2,700-719,30000-39999,NonAffiliate,NonMember,0.04155
1,2,700-719,40000-49999,Affiliate,Member,0.03899
1,2,700-719,40000-49999,Affiliate,NonMember,0.03999
1,2,700-719,40000-49999,NonAffiliate,Member,0.04049
1,2,700-719,40000-49999,NonAffiliate,NonMember,0.04149
1,2,700-719,50000-59999,Affiliate,Member,0.03893
1,2,700-719,50000-59999,Affiliate,NonMember,0.03993
1,2,700-719,50000-59999,NonAffiliate,Member,0.04043
1,2,700-719,50000-59999,NonAffiliate,NonMember,0.04143
1,2,700-719,60000-69999,Affiliate,Member,0.03887
1,2,700-719,60000-69999,Affiliate,NonMember,0.03987
1,2,700-719,60000-69999,NonAffiliate,Member,0.04037
1,2,700-719,60000-69999,NonAffiliate,NonMember,0.04137
1,2,700-719,70000-79999,Affiliate,Member,0.03881
1,2,700-719,70000-79999,Affiliate,NonMember,0.03981
1,2,700-719,70000-79999,NonAffiliate,Member,0.04031
1,2,700-719,70000-79999,NonAffiliate,NonMember,0.04131
1,2,700-719,80000-89999,Affiliate,Member,0.03875
1,2,700-719,80000-89999,Affiliate,NonMember,0.03975
1,2,700-719,80000-89999,NonAffiliate,Member,0.04025
1,2,700-719,80000-89999,NonAffiliate,NonMember,0.04125
1,2,700-719,90000-100000,Affiliate,Member,0.03869
1,2,700-719,90000-100000,Affiliate,NonMember,0.03969
1,2,700-719,90000-100000,NonAffiliate,Member,0.04019
1,2,700-719,90000-100000,NonAffiliate,NonMember,0.04119
1,2,720-739,0-9999,Affiliate,Member,0.03747
1,2,720-739,0-9999,Affiliate,NonMember,0.03847
1,2,720-739,0-9999,NonAffiliate,Member,0.03897
1,2,720-739,0-9999,NonAffiliate,NonMember,0.03997
1,2,720-739,10000-19999,Affiliate,Member,0.03741
1,2,720-739,10000-19999,Affiliate,NonMember,0.03841
1,2,720-739,10000-19999,NonAffiliate,Member,0.03891
1,2,720-739,10000-19999,NonAffiliate,NonMember,0.03991
1,2,720-739,20000-29999,Affiliate,Member,0.03735
1,2,720-739,20000-29999,Affiliate,NonMember,0.03835
1,2,720-739,20000-29999,NonAffiliate,Member,0.03885
1,2,720-739,20000-29999,NonAffiliate,NonMember,0.03985
1,2,720-739,30000-39999,Affiliate,Member,0.03729
1,2,720-739,30000-39999,Affiliate,NonMember,0.03829
1,2,720-739,30000-39999,NonAffiliate,Member,0.03879
1,2,720-739,30000-39999,NonAffiliate,NonMember,0.03979
1,2,720-739,40000-49999,Affiliate,Member,0.03723
1,2,720-739,40000-49999,Affiliate,NonMember,0.03823
1,2,720-739,40000-49999,NonAffiliate,Member,0.03873
1,2,720-739,40000-49999,NonAffiliate,NonMember,0.03973
1,2,720-739,50000-59999,Affiliate,Member,0.03717
1,2,720-739,50000-59999,Affiliate,NonMember,0.03817
1,2,720-739,50000-59999,NonAffiliate,Member,0.03867
1,2,720-739,50000-59999,NonAffiliate,NonMember,0.03967
1,2,720-739,60000-69999,Affiliate,Member,0.03711
1,2,720-739,60000-69999,Affiliate,NonMember,0.03811
1,2,720-739,60000-69999,NonAffiliate,Member,0.03861
1,2,720-739,60000-69999,NonAffiliate,NonMember,0.03961
1,2,720-739,70000-79999,Affiliate,Member,0.03705
1,2,720-739,70000-79999,Affiliate,NonMember,0.03805
1,2,720-739,70000-79999,NonAffiliate,Member,0.03855
1,2,720-739,70000-79999,NonAffiliate,NonMember,0.03955
1,2,720-739,80000-89999,Affiliate,Member,0.03699
1,2,720-739,80000-89999,Affiliate,NonMember,0.03799
1,2,720-739,80000-89999,NonAffiliate,Member,0.03849
1,2,720-739,80000-89999,NonAffiliate,NonMember,0.03949
1,2,720-739,90000-100000,Affiliate,Member,0.03693
1,2,720-739,90000-100000,Affiliate,NonMember,0.03793
1,2,720-739,90000-100000,NonAffiliate,Member,0.03843
1,2,720-739,90000-100000,NonAffiliate,NonMember,0.03943
1,2,740-759,0-9999,Affiliate,Member,0.03571
1,2,740-759,0-9999,Affiliate,NonMember,0.03671
1,2,740-759,0-9999,NonAffiliate,Member,0.03721
1,2,740-759,0-9999,NonAffiliate,NonMember,0.03821
1,2,740-759,10000-19999,Affiliate,Member,0.03565
1,2,740-759,10000-19999,Affiliate,NonMember,0.03665
1,2,740-759,10000-19999,NonAffiliate,Member,0.03715
1,2,740-759,10000-19999,NonAffiliate,NonMember,0.03815
1,2,740-759,20000-29999,Affiliate,Member,0.03559
1,2,740-759,20000-29999,Affiliate,NonMember,0.03659
1,2,740-759,20000-29999,NonAffiliate,Member,0.03709
1,2,740-759,20000-29999,NonAffiliate,NonMember,0.03809
1,2,740-759,30000-39999,Affiliate,Member,0.03553
1,2,740-759,30000-39999,Affiliate,NonMember,0.03653
1,2,740-759,30000-39999,NonAffiliate,Member,0.03703
1,2,740-759,30000-39999,NonAffiliate,NonMember,0.03803
1,2,740-759,40000-49999,Affiliate,Member,0.03547
1,2,740-759,40000-49999,Affiliate,NonMember,0.03647
1,2,740-759,40000-49999,NonAffiliate,Member,0.03697
1,2,740-759,40000-49999,NonAffiliate,NonMember,0.03797
1,2,740-759,50000-59999,Affiliate,Member,0.03541
1,2,740-759,50000-59999,Affiliate,NonMember,0.03641
1,2,740-759,50000-59999,NonAffiliate,Member,0.03691
1,2,740-759,50000-59999,NonAffiliate,NonMember,0.03791
1,2,740-759,60000-69999,Affiliate,Member,0.03535
1,2,740-759,60000-69999,Affiliate,NonMember,0.03635
1,2,740-759,60000-69999,NonAffiliate,Member,0.03685
1,2,740-759,60000-69999,NonAffiliate,NonMember,0.03785
1,2,740-759,70000-79999,Affiliate,Member,0.03529
1,2,740-759,70000-79999,Affiliate,NonMember,0.03629
1,2,740-759,70000-79999,NonAffiliate,Member,0.03679
1,2,740-759,70000-79999,NonAffiliate,NonMember,0.03779
1,2,740-759,80000-89999,Affiliate,Member,0.03523
1,2,740-759,80000-89999,Affiliate,NonMember,0.03623
1,2,740-759,80000-89999,NonAffiliate,Member,0.03673
1,2,740-759,80000-89999,NonAffiliate,NonMember,0.03773
1,2,740-759,90000-100000,Affiliate,Member,0.03517
1,2,740-759,90000-100000,Affiliate,NonMember,0.03617
1,2,740-759,90000-100000,NonAffiliate,Member,0.03667
1,2,740-759,90000-100000,NonAffiliate,NonMember,0.03767
1,2,760-779,0-9999,Affiliate,Member,0.03395
1,2,760-779,0-9999,Affiliate,NonMember,0.03495
1,2,760-779,0-9999,NonAffiliate,Member,0.03545
1,2,760-779,0-9999,NonAffiliate,NonMember,0.03645
1,2,760-779,10000-19999,Affiliate,Member,0.03389
1,2,760-779,10000-19999,Affiliate,NonMember,0.03489
1,2,760-779,10000-19999,NonAffiliate,Member,0.03539
1,2,760-779,10000-19999,NonAffiliate,NonMember,0.03639
1,2,760-779,20000-29999,Affiliate,Member,0.03383
1,2,760-779,20000-29999,Affiliate,NonMember,0.03483
1,2,760-779,20000-29999,NonAffiliate,Member,0.03533
1,2,760-779,20000-29999,NonAffiliate,NonMember,0.03633
1,2,760-779,30000-39999,Affiliate,Member,0.03377
1,2,760-779,30000-39999,Affiliate,NonMember,0.03477
1,2,760-779,30000-39999,NonAffiliate,Member,0.03527
1,2,760-779,30000-39999,NonAffiliate,NonMember,0.03627
1,2,760-779,40000-49999,Affiliate,Member,0.03371
1,2,760-779,40000-49999,Affiliate,NonMember,0.03471
1,2,760-779,40000-49999,NonAffiliate,Member,0.03521
1,2,760-779,40000-49999,NonAffiliate,NonMember,0.03621
1,2,760-779,50000-59999,Affiliate,Member,0.03365
1,2,760-779,50000-59999,Affiliate,NonMember,0.03465
1,2,760-779,50000-59999,NonAffiliate,Member,0.03515
1,2,760-779,50000-59999,NonAffiliate,NonMember,0.03615
1,2,760-779,60000-69999,Affiliate,Member,0.03359
1,2,760-779,60000-69999,Affiliate,NonMember,0.03459
1,2,760-779,60000-69999,NonAffiliate,Member,0.03509
1,2,760-779,60000-69999,NonAffiliate,NonMember,0.03609
1,2,760-779,70000-79999,Affiliate,Member,0.03353
1,2,760-779,70000-79999,Affiliate,NonMember,0.03453
1,2,760-779,70000-79999,NonAffiliate,Member,0.03503
1,2,760-779,70000-79999,NonAffiliate,NonMember,0.03603
1,2,760-779,80000-89999,Affiliate,Member,0.03347
1,2,760-779,80000-89999,Affiliate,NonMember,0.03447
1,2,760-779,80000-89999,NonAffiliate,Member,0.03497
1,2,760-779,80000-89999,NonAffiliate,NonMember,0.03597
1,2,760-779,90000-100000,Affiliate,Member,0.03341
1,2,760-779,90000-100000,Affiliate,NonMember,0.03441
1,2,760-779,90000-100000,NonAffiliate,Member,0.03491
1,2,760-779,90000-100000,NonAffiliate,NonMember,0.03591
1,2,780-799,0-9999,Affiliate,Member,0.03219
1,2,780-799,0-9999,Affiliate,NonMember,0.03319
1,2,780-799,0-9999,NonAffiliate,Member,0.03369
1,2,780-799,0-9999,NonAffiliate,NonMember,0.03469
1,2,780-799,10000-19999,Affiliate,Member,0.03213
1,2,780-799,10000-19999,Affiliate,NonMember,0.03313
1,2,780-799,10000-19999,NonAffiliate,Member,0.03363
1,2,780-799,10000-19999,NonAffiliate,NonMember,0.03463
1,2,780-799,20000-29999,Affiliate,Member,0.03207
1,2,780-799,20000-29999,Affiliate,NonMember,0.03307
1,2,780-799,20000-29999,NonAffiliate,Member,0.03357
1,2,780-799,20000-29999,NonAffiliate,NonMember,0.03457
1,2,780-799,30000-39999,Affiliate,Member,0.03201
1,2,780-799,30000-39999,Affiliate,NonMember,0.03301
1,2,780-799,30000-39999,NonAffiliate,Member,0.03351
1,2,780-799,30000-39999,NonAffiliate,NonMember,0.03451
1,2,780-799,40000-49999,Affiliate,Member,0.03200
1,2,780-799,40000-49999,Affiliate,NonMember,0.03295
1,2,780-799,40000-49999,NonAffiliate,Member,0.03345
1,2,780-799,40000-49999,NonAffiliate,NonMember,0.03445
1,2,780-799,50000-59999,Affiliate,Member,0.03200
1,2,780-799,50000-59999,Affiliate,NonMember,0.03289
1,2,780-799,50000-59999,NonAffiliate,Member,0.03339
1,2,780-799,50000-59999,NonAffiliate,NonMember,0.03439
1,2,780-799,60000-69999,Affiliate,Member,0.03200
1,2,780-799,60000-69999,Affiliate,NonMember,0.03283
1,2,780-799,60000-69999,NonAffiliate,Member,0.03333
1,2,780-799,60000-69999,NonAffiliate,NonMember,0.03433
1,2,780-799,70000-79999,Affiliate,Member,0.03200
1,2,780-799,70000-79999,Affiliate,NonMember,0.03277
1,2,780-799,70000-79999,NonAffiliate,Member,0.03327
1,2,780-799,70000-79999,NonAffiliate,NonMember,0.03427
1,2,780-799,80000-89999,Affiliate,Member,0.03200
1,2,780-799,80000-89999,Affiliate,NonMember,0.03271
1,2,780-799,80000-89999,NonAffiliate,Member,0.03321
1,2,780-799,80000-89999,NonAffiliate,NonMember,0.03421
1,2,780-799,90000-100000,Affiliate,Member,0.03200
1,2,780-799,90000-100000,Affiliate,NonMember,0.03265
1,2,780-799,90000-100000,NonAffiliate,Member,0.03315
1,2,780-799,90000-100000,NonAffiliate,NonMember,0.03415
1,2,800-819,0-9999,Affiliate,Member,0.03200
1,2,800-819,0-9999,Affiliate,NonMember,0.03200
1,2,800-819,0-9999,NonAffiliate,Member,0.03200
1,2,800-819,0-9999,NonAffiliate,NonMember,0.03293
1,2,800-819,10000-19999,Affiliate,Member,0.03200
1,2,800-819,10000-19999,Affiliate,NonMember,0.03200
1,2,800-819,10000-19999,NonAffiliate,Member,0.03200
1,2,800-819,10000-19999,NonAffiliate,NonMember,0.03287
1,2,800-819,20000-29999,Affiliate,Member,0.03200
1,2,800-819,20000-29999,Affiliate,NonMember,0.03200
1,2,800-819,20000-29999,NonAffiliate,Member,0.03200
1,2,800-819,20000-29999,NonAffiliate,NonMember,0.03281
1,2,800-819,30000-39999,Affiliate,Member,0.03200
1,2,800-819,30000-39999,Affiliate,NonMember,0.03200
1,2,800-819,30000-39999,NonAffiliate,Member,0.03200
1,2,800-819,30000-39999,NonAffiliate,NonMember,0.03275
1,2,800-819,40000-49999,Affiliate,Member,0.03200
1,2,800-819,40000-49999,Affiliate,NonMember,0.03200
1,2,800-819,40000-49999,NonAffiliate,Member,0.03200
1,2,800-819,40000-49999,NonAffiliate,NonMember,0.03269
1,2,800-819,50000-59999,Affiliate,Member,0.03200
1,2,800-819,50000-59999,Affiliate,NonMember,0.03200
1,2,800-819,50000-59999,NonAffiliate,Member,0.03200
1,2,800-819,50000-59999,NonAffiliate,NonMember,0.03263
1,2,800-819,60000-69999,Affiliate,Member,0.03200
1,2,800-819,60000-69999,Affiliate,NonMember,0.03200
1,2,800-819,60000-69999,NonAffiliate,Member,0.03200
1,2,800-819,60000-69999,NonAffiliate,NonMember,0.03257
1,2,800-819,70000-79999,Affiliate,Member,0.03200
1,2,800-819,70000-79999,Affiliate,NonMember,0.03200
1,2,800-819,70000-79999,NonAffiliate,Member,0.03200
1,2,800-819,70000-79999,NonAffiliate,NonMember,0.03251
1,2,800-819,80000-89999,Affiliate,Member,0.03200
1,2,800-819,80000-89999,Affiliate,NonMember,0.03200
1,2,800-819,80000-89999,NonAffiliate,Member,0.03200
1,2,800-819,80000-89999,NonAffiliate,NonMember,0.03245
1,2,800-819,90000-100000,Affiliate,Member,0.03200
1,2,800-819,90000-100000,Affiliate,NonMember,0.03200
1,2,800-819,90000-100000,NonAffiliate,Member,0.03200
1,2,800-819,90000-100000,NonAffiliate,NonMember,0.03239
1,2,820-839,0-9999,Affiliate,Member,0.03200
1,2,820-839,0-9999,Affiliate,NonMember,0.03200
1,2,820-839,0-9999,NonAffiliate,Member,0.03200
1,2,820-839,0-9999,NonAffiliate,NonMember,0.03200
1,2,820-839,10000-19999,Affiliate,Member,0.03200
1,2,820-839,10000-19999,Affiliate,NonMember,0.03200
1,2,820-839,10000-19999,NonAffiliate,Member,0.03200
1,2,820-839,10000-19999,NonAffiliate,NonMember,0.03200
1,2,820-839,20000-29999,Affiliate,Member,0.03200
1,2,820-839,20000-29999,Affiliate,NonMember,0.03200
1,2,820-839,20000-29999,NonAffiliate,Member,0.03200
1,2,820-839,20000-29999,NonAffiliate,NonMember,0.03200
1,2,820-839,30000-39999,Affiliate,Member,0.03200
1,2,820-839,30000-39999,Affiliate,NonMember,0.03200
1,2,820-839,30000-39999,NonAffiliate,Member,0.03200
1,2,820-839,30000-39999,NonAffiliate,NonMember,0.03200
1,2,820-839,40000-49999,Affiliate,Member,0.03200
1,2,820-839,40000-49999,Affiliate,NonMember,0.03200
1,2,820-839,40000-49999,NonAffiliate,Member,0.03200
1,2,820-839,40000-49999,NonAffiliate,NonMember,0.03200
1,2,820-839,50000-59999,Affiliate,Member,0.03200
1,2,820-839,50000-59999,Affiliate,NonMember,0.03200
1,2,820-839,50000-59999,NonAffiliate,Member,0.03200
1,2,820-839,50000-59999,NonAffiliate,NonMember,0.03200
1,2,820-839,60000-69999,Affiliate,Member,0.03200
1,2,820-839,60000-69999,Affiliate,NonMember,0.03200
