Tier,Income,Term,Loan Purpose,FICO,Member,Affiliate Channel,Grid Assigned,Loan Amount,Rate Selected,WAC,Approved,Declined,Conversion Rate,Converted,Doc Upload,DS to Signed (days)
6,60420,3,Auto,671,NonMember,NonAffiliate,AA,35949,0.04937,0.04937,1,0,0.450,1,0,2
6,55688,7,DebtConsolidation,648,Member,Affiliate,AF,18661,0.05495,0.05495,1,0,0.500,1,1,8
6,53886,5,DebtConsolidation,681,Member,Affiliate,AG,20006,0.04947,0.04947,1,0,0.500,0,1,
2,67084,7,DebtConsolidation,760,Member,NonAffiliate,AA,44287,0.04031,0.04031,1,0,0.550,1,1,1
6,68666,3,HomeImprovement,706,NonMember,NonAffiliate,AD,39057,0.04745,0.04745,0,1,0.000,0,0,
6,47785,3,Medical,645,NonMember,NonAffiliate,AE,33351,0.05083,0.05083,1,0,0.450,1,0,1
4,66797,4,HomeImprovement,747,Member,NonAffiliate,AF,36696,0.04193,0.04193,1,0,0.550,0,1,
6,63371,6,Medical,716,NonMember,Affiliate,AD,28479,0.04961,0.04961,0,1,0.000,0,0,
9,37938,4,MajorPurchase,603,Member,NonAffiliate,AB,10149,0.05847,0.05847,0,1,0.000,0,0,
10,36316,6,DebtConsolidation,613,Member,Affiliate,AF,29325,0.06121,0.06121,0,1,0.000,0,0,
9,44068,5,MajorPurchase,629,Member,Affiliate,AE,13650,0.05561,0.05561,0,1,0.000,0,0,
2,72113,4,MajorPurchase,805,Member,Affiliate,AF,49604,0.03309,0.03309,1,0,0.500,1,1,8
2,91223,6,DebtConsolidation,842,Member,NonAffiliate,AG,42736,0.03437,0.03437,1,0,0.550,1,1,4
4,80843,5,DebtConsolidation,759,Member,NonAffiliate,AB,41279,0.04217,0.04217,1,0,0.550,1,1,2
1,98092,6,HomeImprovement,846,Member,NonAffiliate,AC,39496,0.03263,0.03263,1,0,0.550,1,1,9
4,85340,7,Medical,790,Member,NonAffiliate,AD,43411,0.04215,0.04215,1,0,0.550,1,1,4
2,81758,5,MajorPurchase,808,Member,NonAffiliate,AG,38643,0.03635,0.03635,1,0,0.550,1,0,3
8,56434,3,HomeImprovement,672,Member,NonAffiliate,AH,28264,0.05273,0.05273,1,0,0.550,0,1,
3,78126,4,MajorPurchase,780,Member,NonAffiliate,AA,41330,0.03595,0.03595,1,0,0.550,0,1,
7,44451,4,HomeImprovement,675,Member,NonAffiliate,AD,28248,0.05223,0.05223,0,1,0.000,0,0,
3,88833,6,DebtConsolidation,797,NonMember,Affiliate,AD,43684,0.03945,0.03945,0,1,0.000,0,0,
4,58299,3,Auto,692,NonMember,NonAffiliate,AG,30853,0.04751,0.04751,0,1,0.000,0,0,
2,81388,3,DebtConsolidation,837,NonMember,NonAffiliate,AE,35456,0.03200,0.03200,1,0,0.450,1,1,3
3,66856,4,MajorPurchase,743,NonMember,Affiliate,AI,43058,0.04167,0.04167,0,1,0.000,0,0,
4,64127,7,MajorPurchase,683,NonMember,NonAffiliate,AE,28957,0.05017,0.05017,1,0,0.450,0,1,
8,51924,6,MajorPurchase,629,NonMember,Affiliate,AF,23517,0.05845,0.05845,1,0,0.400,1,1,7
4,73524,7,Medical,743,NonMember,NonAffiliate,AG,40256,0.04697,0.04697,1,0,0.450,0,0,
4,68704,4,MajorPurchase,753,NonMember,Affiliate,AE,39131,0.03973,0.03973,0,1,0.000,0,0,
1,84290,3,Auto,812,Member,Affiliate,AF,39905,0.03200,0.03200,1,0,0.500,0,1,
2,75517,3,MajorPurchase,760,Member,NonAffiliate,AC,47829,0.03661,0.03661,1,0,0.550,0,1,
9,43413,5,HomeImprovement,629,NonMember,NonAffiliate,AA,27616,0.05835,0.05835,1,0,0.450,0,0,
5,56033,2,Auto,714,NonMember,Affiliate,AD,37239,0.04375,0.04375,1,0,0.400,1,1,10
2,87920,7,MajorPurchase,848,Member,NonAffiliate,AH,45664,0.03597,0.03597,1,0,0.550,1,1,1
4,80265,6,HomeImprovement,769,Member,Affiliate,AC,35597,0.04077,0.04077,1,0,0.500,0,1,
4,64013,5,DebtConsolidation,695,Member,NonAffiliate,AD,19156,0.04873,0.04873,1,0,0.550,1,1,4
10,42535,6,Medical,637,NonMember,NonAffiliate,AG,24947,0.06245,0.06245,0,1,0.000,0,0,
4,51811,5,MajorPurchase,698,NonMember,Affiliate,AG,24674,0.04847,0.04847,0,1,0.000,0,0,
6,52926,2,DebtConsolidation,657,Member,NonAffiliate,AH,22383,0.05129,0.05129,1,0,0.550,0,1,
4,77566,6,HomeImprovement,742,NonMember,NonAffiliate,AI,36970,0.04663,0.04663,1,0,0.450,0,1,
6,55738,4,DebtConsolidation,642,NonMember,NonAffiliate,AC,20497,0.05349,0.05349,1,0,0.450,0,1,
5,67716,4,MajorPurchase,696,Member,NonAffiliate,AG,28081,0.04877,0.04877,1,0,0.550,0,1,
4,89442,4,DebtConsolidation,798,Member,NonAffiliate,AA,45177,0.03695,0.03695,1,0,0.550,1,0,10
4,70080,4,DebtConsolidation,735,Member,NonAffiliate,AF,27469,0.04375,0.04375,1,0,0.550,0,1,
4,67446,2,DebtConsolidation,737,Member,Affiliate,AA,35684,0.03839,0.03839,0,1,0.000,0,0,
2,82268,3,Medical,774,Member,NonAffiliate,AC,47373,0.03661,0.03661,1,0,0.550,1,1,5
3,81051,7,DebtConsolidation,755,NonMember,NonAffiliate,AA,34782,0.04413,0.04413,1,0,0.450,1,1,2
4,68023,7,HomeImprovement,743,Member,Affiliate,AC,38970,0.04373,0.04373,1,0,0.500,1,1,10
3,74217,5,DebtConsolidation,764,NonMember,NonAffiliate,AG,25764,0.04193,0.04193,0,1,0.000,0,0,
3,81209,5,HomeImprovement,795,Member,NonAffiliate,AC,41760,0.03825,0.03825,0,1,0.000,0,0,
2,90400,3,MajorPurchase,827,Member,NonAffiliate,AB,56348,0.03200,0.03200,1,0,0.550,0,1,
6,58439,6,DebtConsolidation,655,Member,Affiliate,AI,27027,0.05499,0.05499,0,1,0.000,0,0,
1,91664,2,Medical,824,NonMember,Affiliate,AB,53302,0.03200,0.03200,1,0,0.400,0,0,
4,80829,4,Auto,772,NonMember,Affiliate,AE,28882,0.03803,0.03803,1,0,0.400,0,0,
1,79133,7,Medical,822,Member,NonAffiliate,AH,33588,0.03639,0.03639,1,0,0.550,1,1,7
7,43240,5,MajorPurchase,647,Member,Affiliate,AE,24175,0.05179,0.05179,0,1,0.000,0,0,
7,43587,2,Auto,674,NonMember,NonAffiliate,AA,24305,0.04923,0.04923,1,0,0.450,1,1,10
5,53987,6,Auto,693,NonMember,NonAffiliate,AE,20654,0.04997,0.04997,1,0,0.450,1,1,5
8,31247,4,Auto,612,NonMember,NonAffiliate,AE,16818,0.05767,0.05767,0,1,0.000,0,0,
2,76801,5,MajorPurchase,806,Member,NonAffiliate,AH,51899,0.03663,0.03663,1,0,0.550,0,1,
2,89895,4,DebtConsolidation,824,Member,Affiliate,AF,50555,0.03200,0.03200,1,0,0.500,0,0,
6,51673,6,Auto,695,Member,Affiliate,AB,24792,0.04927,0.04927,0,1,0.000,0,0,
4,67022,4,Medical,702,Member,NonAffiliate,AG,40271,0.04589,0.04589,1,0,0.550,0,0,
8,51336,6,Medical,627,Member,NonAffiliate,AI,30462,0.06019,0.06019,0,1,0.000,0,0,
1,78865,3,Medical,829,NonMember,Affiliate,AI,49622,0.03200,0.03200,1,0,0.400,1,0,8
6,57803,7,Medical,717,NonMember,NonAffiliate,AB,36074,0.05115,0.05115,0,1,0.000,0,0,
2,85556,4,HomeImprovement,831,NonMember,Affiliate,AF,56188,0.03227,0.03227,1,0,0.400,1,0,7
5,52870,2,DebtConsolidation,686,NonMember,NonAffiliate,AH,17019,0.04783,0.04783,0,1,0.000,0,0,
6,57920,6,HomeImprovement,658,Member,Affiliate,AF,20594,0.05369,0.05369,0,1,0.000,0,0,
2,84301,7,Auto,780,Member,Affiliate,AH,49261,0.03935,0.03935,1,0,0.500,0,1,
2,70517,4,DebtConsolidation,790,Member,NonAffiliate,AI,32524,0.03771,0.03771,1,0,0.550,1,0,2
5,78406,2,HomeImprovement,756,Member,NonAffiliate,AH,25740,0.04149,0.04149,0,1,0.000,0,0,
5,56468,5,Medical,723,NonMember,Affiliate,AI,25620,0.04675,0.04675,1,0,0.400,0,1,
2,94165,5,Medical,830,Member,Affiliate,AI,56595,0.03377,0.03377,1,0,0.500,0,1,
2,90279,3,Medical,826,Member,NonAffiliate,AI,46751,0.03293,0.03293,1,0,0.550,1,1,3
1,77354,2,DebtConsolidation,815,Member,NonAffiliate,AD,44010,0.03200,0.03200,1,0,0.550,0,1,
5,63518,7,Medical,703,NonMember,NonAffiliate,AG,27785,0.05161,0.05161,1,0,0.450,1,1,8
8,49988,3,Auto,663,NonMember,NonAffiliate,AA,31941,0.05137,0.05137,1,0,0.450,0,0,
5,54724,5,HomeImprovement,680,NonMember,NonAffiliate,AD,21544,0.05067,0.05067,0,1,0.000,0,0,
8,42849,6,DebtConsolidation,640,Member,NonAffiliate,AF,15957,0.05725,0.05725,1,0,0.550,0,1,
2,68670,3,DebtConsolidation,782,NonMember,Affiliate,AB,49530,0.03375,0.03375,1,0,0.400,1,1,9
8,53255,4,Medical,631,NonMember,NonAffiliate,AE,11208,0.05591,0.05591,1,0,0.450,1,1,5
7,41333,3,Auto,664,Member,NonAffiliate,AB,17913,0.04999,0.04999,0,1,0.000,0,0,
3,66006,7,DebtConsolidation,771,Member,NonAffiliate,AF,29071,0.04283,0.04283,1,0,0.550,0,1,
4,66022,2,DebtConsolidation,729,Member,NonAffiliate,AF,36556,0.04129,0.04129,1,0,0.550,1,0,10
4,68045,4,DebtConsolidation,736,Member,NonAffiliate,AA,24822,0.04235,0.04235,1,0,0.550,1,1,6
4,56344,3,HomeImprovement,704,Member,Affiliate,AI,39959,0.04405,0.04405,1,0,0.500,1,0,10
2,92139,7,Medical,849,Member,Affiliate,AG,50370,0.03401,0.03401,1,0,0.500,1,1,2
4,59762,2,Medical,694,NonMember,Affiliate,AA,20238,0.04297,0.04297,1,0,0.400,0,1,
1,95444,4,Medical,821,Member,Affiliate,AC,34547,0.03200,0.03200,1,0,0.500,1,0,2
2,77644,7,DebtConsolidation,765,NonMember,NonAffiliate,AD,45782,0.04291,0.04291,1,0,0.450,1,0,6
2,85983,2,DebtConsolidation,819,Member,NonAffiliate,AG,41590,0.03269,0.03269,1,0,0.550,0,1,
8,42634,7,DebtConsolidation,650,NonMember,Affiliate,AB,33497,0.05693,0.05693,1,0,0.400,1,1,9
5,72848,5,HomeImprovement,730,Member,NonAffiliate,AF,38262,0.04589,0.04589,1,0,0.550,0,1,
4,57377,7,HomeImprovement,715,Member,NonAffiliate,AA,23114,0.04771,0.04771,0,1,0.000,0,0,
4,74764,2,Auto,761,Member,Affiliate,AD,48023,0.03641,0.03641,1,0,0.500,1,1,4
5,69647,5,Auto,759,Member,Affiliate,AE,40448,0.04087,0.04087,1,0,0.500,0,0,
5,73498,6,Medical,749,NonMember,NonAffiliate,AD,43693,0.04647,0.04647,0,1,0.000,0,0,
3,77125,5,MajorPurchase,751,NonMember,Affiliate,AG,29373,0.04219,0.04219,1,0,0.400,0,1,
9,46535,2,Medical,627,Member,NonAffiliate,AB,16965,0.05431,0.05431,0,1,0.000,0,0,
10,40186,7,DebtConsolidation,610,NonMember,Affiliate,AC,16600,0.06317,0.06317,0,1,0.000,0,0,
1,79322,2,Medical,835,Member,NonAffiliate,AA,52183,0.03200,0.03200,1,0,0.550,1,0,2
10,43518,6,Medical,607,Member,NonAffiliate,AA,23218,0.06131,0.06131,1,0,0.550,1,1,3
6,55342,4,DebtConsolidation,693,NonMember,Affiliate,AI,39056,0.05001,0.05001,1,0,0.400,0,1,
4,81125,2,MajorPurchase,776,Member,NonAffiliate,AG,39352,0.03827,0.03827,1,0,0.550,1,1,4
2,87604,3,MajorPurchase,823,Member,NonAffiliate,AC,38497,0.03200,0.03200,0,1,0.000,0,0,
8,37891,5,DebtConsolidation,644,Member,Affiliate,AH,17816,0.05545,0.05545,1,0,0.500,1,1,9
5,68935,3,DebtConsolidation,748,Member,NonAffiliate,AF,45247,0.04167,0.04167,1,0,0.550,1,0,7
2,94739,3,Medical,834,NonMember,NonAffiliate,AG,51095,0.03307,0.03307,1,0,0.450,1,1,10
7,50285,2,Auto,657,NonMember,Affiliate,AB,32586,0.04993,0.04993,1,0,0.400,0,1,
2,79699,4,MajorPurchase,831,Member,NonAffiliate,AA,45624,0.03200,0.03200,1,0,0.550,0,1,
6,42183,3,Medical,659,Member,NonAffiliate,AB,24946,0.05069,0.05069,0,1,0.000,0,0,
7,41399,3,Auto,654,NonMember,NonAffiliate,AF,25522,0.05359,0.05359,0,1,0.000,0,0,
9,49804,5,HomeImprovement,620,Member,NonAffiliate,AC,31469,0.05839,0.05839,1,0,0.550,0,1,
3,73932,2,DebtConsolidation,746,Member,NonAffiliate,AF,26396,0.03859,0.03859,1,0,0.550,1,1,5
5,49676,5,HomeImprovement,685,NonMember,NonAffiliate,AC,23957,0.05017,0.05017,1,0,0.450,1,1,9
6,53026,4,DebtConsolidation,659,NonMember,NonAffiliate,AB,30305,0.05283,0.05283,0,1,0.000,0,0,
10,47544,2,Auto,624,NonMember,Affiliate,AD,26945,0.05585,0.05585,0,1,0.000,0,0,
4,72385,3,DebtConsolidation,761,Member,Affiliate,AE,48563,0.03571,0.03571,1,0,0.500,0,0,
10,42153,7,HomeImprovement,628,Member,Affiliate,AI,26841,0.06195,0.06195,0,1,0.000,0,0,
4,87309,5,HomeImprovement,784,Member,NonAffiliate,AH,29429,0.04057,0.04057,1,0,0.550,0,0,
5,46912,5,MajorPurchase,686,Member,NonAffiliate,AG,25811,0.04997,0.04997,0,1,0.000,0,0,
2,75603,2,Auto,812,Member,NonAffiliate,AE,46658,0.03200,0.03200,1,0,0.550,0,1,
4,68294,4,Medical,711,NonMember,Affiliate,AI,34605,0.04625,0.04625,1,0,0.400,1,1,5
3,68309,3,Medical,739,NonMember,NonAffiliate,AD,28900,0.04275,0.04275,1,0,0.450,0,1,
4,64462,5,DebtConsolidation,695,Member,Affiliate,AF,36515,0.04691,0.04691,1,0,0.500,0,1,
1,88420,6,Auto,815,Member,Affiliate,AB,43785,0.03359,0.03359,1,0,0.500,0,1,
7,59143,2,MajorPurchase,671,Member,NonAffiliate,AI,34942,0.05087,0.05087,1,0,0.550,1,1,6
2,77772,5,HomeImprovement,771,Member,Affiliate,AF,31010,0.03787,0.03787,0,1,0.000,0,0,
6,50417,4,MajorPurchase,659,Member,NonAffiliate,AF,22885,0.05279,0.05279,0,1,0.000,0,0,
4,73830,5,Auto,758,Member,Affiliate,AG,38609,0.04213,0.04213,0,1,0.000,0,0,
2,94355,4,MajorPurchase,820,Member,NonAffiliate,AC,51520,0.03247,0.03247,1,0,0.550,0,1,
3,57881,5,HomeImprovement,724,Member,NonAffiliate,AD,34602,0.04409,0.04409,1,0,0.550,1,1,10
5,68671,3,HomeImprovement,741,NonMember,NonAffiliate,AF,35267,0.04273,0.04273,0,1,0.000,0,0,
3,73062,5,MajorPurchase,770,Member,Affiliate,AG,34477,0.03937,0.03937,1,0,0.500,0,1,
6,56968,5,HomeImprovement,689,Member,NonAffiliate,AG,40327,0.05085,0.05085,1,0,0.550,1,1,7
4,52469,3,Auto,704,Member,NonAffiliate,AC,26883,0.04401,0.04401,1,0,0.550,1,0,9
1,96389,5,HomeImprovement,828,Member,Affiliate,AE,50761,0.03200,0.03200,1,0,0.500,1,1,8
10,45613,3,DebtConsolidation,624,NonMember,NonAffiliate,AC,24467,0.05805,0.05805,0,1,0.000,0,0,
6,49731,2,Auto,690,NonMember,Affiliate,AH,40495,0.04715,0.04715,0,1,0.000,0,0,
7,45505,3,Medical,641,NonMember,Affiliate,AI,29530,0.05339,0.05339,0,1,0.000,0,0,
4,65937,6,MajorPurchase,757,NonMember,NonAffiliate,AI,31158,0.04663,0.04663,1,0,0.450,0,1,
2,95105,4,DebtConsolidation,825,Member,Affiliate,AB,53019,0.03200,0.03200,1,0,0.500,1,1,2
7,36903,3,Medical,644,Member,Affiliate,AF,20028,0.05109,0.05109,1,0,0.500,1,1,6
1,86993,5,DebtConsolidation,827,Member,NonAffiliate,AG,56294,0.03347,0.03347,1,0,0.550,0,1,
4,68849,7,HomeImprovement,719,Member,NonAffiliate,AF,40128,0.04899,0.04899,1,0,0.550,1,1,9
1,101523,5,HomeImprovement,850,NonMember,Affiliate,AA,50639,0.03200,0.03200,1,0,0.400,0,1,
8,35650,5,MajorPurchase,617,Member,NonAffiliate,AI,22518,0.06081,0.06081,0,1,0.000,0,0,
4,73098,6,MajorPurchase,742,Member,NonAffiliate,AH,41518,0.04517,0.04517,1,0,0.550,1,1,1
5,74110,3,DebtConsolidation,728,Member,NonAffiliate,AI,44310,0.04473,0.04473,1,0,0.550,0,1,
4,62457,2,Auto,741,NonMember,NonAffiliate,AB,44084,0.03957,0.03957,1,0,0.450,1,0,7
3,65235,5,MajorPurchase,722,Member,NonAffiliate,AA,33519,0.04249,0.04249,1,0,0.550,0,0,
2,97640,4,Auto,840,Member,NonAffiliate,AE,42325,0.03200,0.03200,1,0,0.550,1,1,2
8,32064,3,MajorPurchase,613,Member,Affiliate,AH,27148,0.05651,0.05651,1,0,0.500,1,1,9
8,48093,7,HomeImprovement,661,NonMember,NonAffiliate,AF,23769,0.05763,0.05763,1,0,0.450,0,0,
3,65737,4,Medical,767,Member,NonAffiliate,AB,31778,0.03827,0.03827,1,0,0.550,1,1,7
2,91386,3,Auto,848,Member,NonAffiliate,AE,51276,0.03200,0.03200,1,0,0.550,0,1,
2,99601,5,DebtConsolidation,847,Member,NonAffiliate,AE,43995,0.03200,0.03200,1,0,0.550,1,1,6
8,54963,4,HomeImprovement,637,NonMember,NonAffiliate,AA,16605,0.05621,0.05621,1,0,0.450,0,1,
4,48444,7,HomeImprovement,680,NonMember,NonAffiliate,AE,23549,0.05017,0.05017,1,0,0.450,1,1,5
5,65050,4,MajorPurchase,734,Member,NonAffiliate,AI,37350,0.04599,0.04599,0,1,0.000,0,0,
2,82398,4,HomeImprovement,845,Member,Affiliate,AH,40181,0.03200,0.03200,1,0,0.500,0,0,
3,67826,4,HomeImprovement,729,Member,Affiliate,AF,39523,0.04119,0.04119,1,0,0.500,0,0,
1,85840,7,Medical,815,Member,NonAffiliate,AD,47801,0.03739,0.03739,0,1,0.000,0,0,
1,73655,6,MajorPurchase,801,NonMember,NonAffiliate,AB,30329,0.03615,0.03615,1,0,0.450,1,1,3
9,44153,4,MajorPurchase,606,NonMember,Affiliate,AA,24159,0.05741,0.05741,0,1,0.000,0,0,
2,91269,2,MajorPurchase,828,NonMember,NonAffiliate,AI,36866,0.03279,0.03279,1,0,0.450,0,1,
5,60324,2,Auto,691,Member,Affiliate,AE,39767,0.04261,0.04261,1,0,0.500,1,0,1
9,49637,6,Medical,632,Member,Affiliate,AI,15455,0.05981,0.05981,0,1,0.000,0,0,
1,82294,6,MajorPurchase,845,Member,NonAffiliate,AC,58084,0.03251,0.03251,1,0,0.550,0,0,
6,58645,2,MajorPurchase,697,Member,Affiliate,AB,22364,0.04447,0.04447,0,1,0.000,0,0,
3,85853,5,MajorPurchase,787,Member,NonAffiliate,AI,33025,0.03991,0.03991,1,0,0.550,1,0,7
8,60156,5,Auto,662,Member,NonAffiliate,AG,14410,0.05479,0.05479,0,1,0.000,0,0,
7,61817,4,MajorPurchase,671,NonMember,Affiliate,AG,34790,0.05197,0.05197,0,1,0.000,0,0,
9,38215,5,HomeImprovement,628,NonMember,Affiliate,AI,12851,0.05961,0.05961,1,0,0.400,1,1,5
8,46987,5,DebtConsolidation,624,NonMember,NonAffiliate,AH,12264,0.05971,0.05971,1,0,0.450,0,1,
1,94459,4,Medical,845,Member,Affiliate,AE,53734,0.03200,0.03200,1,0,0.500,1,1,3
5,52059,2,Auto,689,Member,NonAffiliate,AI,32547,0.04711,0.04711,1,0,0.550,0,0,
3,66419,4,MajorPurchase,759,Member,NonAffiliate,AB,35966,0.04003,0.04003,0,1,0.000,0,0,
4,71626,4,MajorPurchase,713,NonMember,Affiliate,AD,29855,0.04521,0.04521,0,1,0.000,0,0,
4,57084,4,MajorPurchase,695,NonMember,NonAffiliate,AE,21131,0.04657,0.04657,0,1,0.000,0,0,
2,81609,7,DebtConsolidation,817,Member,Affiliate,AI,54742,0.03793,0.03793,0,1,0.000,0,0,
5,64979,4,HomeImprovement,735,NonMember,NonAffiliate,AI,34553,0.04699,0.04699,1,0,0.450,0,1,
4,77501,2,Medical,776,NonMember,NonAffiliate,AI,46578,0.04001,0.04001,1,0,0.450,0,1,
8,53074,7,DebtConsolidation,659,NonMember,Affiliate,AI,27185,0.05919,0.05919,1,0,0.400,0,1,
4,80547,5,MajorPurchase,777,Member,NonAffiliate,AA,49507,0.03991,0.03991,1,0,0.550,1,0,5
5,65254,3,DebtConsolidation,722,Member,NonAffiliate,AA,27418,0.04215,0.04215,1,0,0.550,1,1,8
4,53211,5,Auto,702,Member,Affiliate,AD,21823,0.04541,0.04541,0,1,0.000,0,0,
2,77271,4,MajorPurchase,765,NonMember,Affiliate,AD,39072,0.03787,0.03787,1,0,0.400,1,1,10
7,50318,4,MajorPurchase,674,Member,NonAffiliate,AI,16930,0.05339,0.05339,0,1,0.000,0,0,
5,67239,3,HomeImprovement,710,Member,NonAffiliate,AB,38761,0.04435,0.04435,1,0,0.550,1,1,8
4,72089,4,Auto,785,Member,Affiliate,AD,32032,0.03711,0.03711,1,0,0.500,1,1,10
7,55707,3,Medical,658,NonMember,NonAffiliate,AD,34103,0.05373,0.05373,0,1,0.000,0,0,
7,48664,4,Auto,645,NonMember,NonAffiliate,AB,17793,0.05395,0.05395,0,1,0.000,0,0,
4,75204,7,Medical,753,Member,Affiliate,AE,25371,0.04239,0.04239,1,0,0.500,0,1,
8,55110,6,MajorPurchase,654,NonMember,Affiliate,AG,16222,0.05725,0.05725,0,1,0.000,0,0,
6,70642,5,DebtConsolidation,717,Member,NonAffiliate,AE,41459,0.04689,0.04689,1,0,0.550,1,0,6
8,53745,3,DebtConsolidation,634,NonMember,NonAffiliate,AB,30077,0.05539,0.05539,1,0,0.450,1,1,4
2,99357,5,MajorPurchase,840,Member,Affiliate,AG,57870,0.03200,0.03200,1,0,0.500,0,1,
2,80747,7,HomeImprovement,803,NonMember,Affiliate,AE,34708,0.03605,0.03605,1,0,0.400,1,1,7
5,72253,4,MajorPurchase,744,Member,Affiliate,AB,26330,0.04059,0.04059,1,0,0.500,0,1,
5,52161,6,Medical,714,NonMember,NonAffiliate,AC,22732,0.04961,0.04961,0,1,0.000,0,0,
8,42081,5,Medical,637,NonMember,Affiliate,AF,19732,0.05731,0.05731,0,1,0.000,0,0,
3,75059,2,DebtConsolidation,750,Member,NonAffiliate,AC,29176,0.03829,0.03829,1,0,0.550,1,0,3
2,84790,3,HomeImprovement,809,Member,NonAffiliate,AD,52343,0.03353,0.03353,1,0,0.550,0,1,
1,83578,7,Medical,843,Member,NonAffiliate,AE,39508,0.03243,0.03243,1,0,0.550,1,1,6
9,46812,2,HomeImprovement,633,Member,NonAffiliate,AF,13341,0.05521,0.05521,1,0,0.550,1,1,3
1,77257,6,DebtConsolidation,804,Member,NonAffiliate,AD,51060,0.03613,0.03613,0,1,0.000,0,0,
3,63155,3,DebtConsolidation,746,Member,NonAffiliate,AF,37590,0.03973,0.03973,0,1,0.000,0,0,
2,72318,6,HomeImprovement,802,NonMember,NonAffiliate,AE,40124,0.03629,0.03629,1,0,0.450,0,1,
5,52719,4,HomeImprovement,681,Member,NonAffiliate,AH,33030,0.04911,0.04911,0,1,0.000,0,0,
7,44101,4,MajorPurchase,652,NonMember,NonAffiliate,AH,14631,0.05575,0.05575,0,1,0.000,0,0,
7,49807,6,DebtConsolidation,661,NonMember,NonAffiliate,AB,26932,0.05453,0.05453,0,1,0.000,0,0,
2,76095,4,MajorPurchase,777,Member,NonAffiliate,AA,32331,0.03677,0.03677,1,0,0.550,0,1,
2,79259,5,Auto,802,Member,Affiliate,AI,44477,0.03559,0.03559,1,0,0.500,1,1,3
10,47666,2,HomeImprovement,620,NonMember,NonAffiliate,AG,32018,0.05759,0.05759,1,0,0.450,0,1,
5,54172,5,DebtConsolidation,683,Member,Affiliate,AI,34855,0.04921,0.04921,1,0,0.500,1,1,10
7,57025,6,HomeImprovement,651,NonMember,Affiliate,AH,28793,0.05659,0.05659,1,0,0.400,1,0,8
4,52798,7,HomeImprovement,712,Member,NonAffiliate,AB,40926,0.04809,0.04809,1,0,0.550,0,1,
6,54672,4,DebtConsolidation,708,Member,NonAffiliate,AE,24836,0.04581,0.04581,0,1,0.000,0,0,
4,64564,4,Medical,722,Member,NonAffiliate,AE,32728,0.04199,0.04199,1,0,0.550,0,0,
